fid,agency_id,route_long_name,route_desc,route_type,route_id,service_id,trip_id
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882210
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882211
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882212
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
1,LRTA,Baclaran - Roosevelt,Urban railway line serving 20 stations between Balaran and Roosevelt,2,ROUTE_880747,880772,882213
